FID,LEFT_FID,RIGHT_FID,ORIG_FID,POINT_X,POINT_Y
70,-1,6,12,533952.577300000000000,3378799.074700000200000
71,-1,6,12,533950.989799999980000,3378836.063500000200000
72,-1,96,13,534199.918399999970000,3378826.554500000100000
73,-1,96,13,534199.618800000050000,3378836.833000000100000
74,-1,96,13,534147.945500000030000,3378837.414400000100000
75,-1,97,14,534147.945500000030000,3378837.414400000100000
76,-1,97,14,534093.785299999990000,3378838.023699999800000
77,-1,97,14,534094.182099999980000,3378827.969500000100000
78,-1,97,14,534071.957100000000000,3378828.366299999900000
79,-1,97,14,534071.824799999940000,3378838.023699999800000
80,-1,97,14,534009.064999999940000,3378839.116299999900000
81,98,6,15,533950.989799999980000,3378836.063500000200000
82,98,6,15,533962.858600000040000,3378839.920700000100000
83,-1,6,16,533962.858600000040000,3378839.920700000100000
84,-1,6,16,533964.155000000030000,3378798.645599999900000
85,-1,6,16,534012.441600000020000,3378797.851900000100000
86,-1,6,16,534012.970800000010000,3378778.669600000100000
87,-1,6,16,533969.975899999960000,3378779.727899999800000
88,-1,98,17,534009.064999999940000,3378839.116299999900000
89,-1,98,17,533962.858600000040000,3378839.920700000100000
90,97,96,18,534147.945500000030000,3378837.414400000100000
91,97,96,18,534147.980199999990000,3378855.026699999800000
92,-1,96,19,534147.980199999990000,3378855.026699999800000
93,-1,96,19,534218.662699999990000,3378854.141200000000000
94,-1,96,19,534219.174200000010000,3378826.262900000000000
95,-1,96,19,534210.972100000010000,3378826.395200000100000
96,98,97,20,534009.064999999940000,3378839.116299999900000
97,98,97,20,534009.158999999990000,3378856.765800000200000
98,-1,97,21,534009.158999999990000,3378856.765800000200000
99,-1,97,21,534147.980199999990000,3378855.026699999800000
100,-1,98,22,533950.989799999980000,3378836.063500000200000
101,-1,98,22,533938.765999999950000,3378836.222300000000000
102,-1,98,22,533938.289800000030000,3378857.653599999800000
103,-1,98,22,534009.158999999990000,3378856.765800000200000
104,-1,5,23,533744.513000000040000,3378828.408199999900000
105,-1,5,23,533754.461299999970000,3378828.408199999900000
106,-1,5,23,533754.672999999950000,3378820.576599999800000
107,-1,5,23,533907.496599999950000,3378815.919900000100000
108,-1,5,23,533906.014899999950000,3378843.859900000000000
109,-1,5,23,533842.938199999980000,3378845.764899999800000
110,-1,5,23,533842.726499999990000,3378861.428299999800000
111,-1,5,23,533918.079999999960000,3378859.946599999900000
112,-1,5,23,533920.196600000020000,3378799.198200000000000
113,-1,5,23,533745.783000000050000,3378803.854900000200000
114,-1,5,23,533744.513000000040000,3378828.408199999900000
115,-1,2,24,533750.741000000040000,3378849.102899999800000
116,-1,2,24,533751.110899999970000,3378861.503599999900000
117,-1,2,24,533826.517299999950000,3378859.254699999900000
118,-1,2,24,533826.147400000020000,3378846.853900000000000
119,-1,2,24,533750.741000000040000,3378849.102899999800000
120,-1,11,25,533717.485499999950000,3378913.418800000100000
121,-1,11,25,533715.051300000050000,3378936.490499999800000
122,-1,11,25,533733.572200000050000,3378936.596400000200000
123,-1,11,25,533735.900499999990000,3378913.313000000100000
124,-1,11,25,533717.485499999950000,3378913.418800000100000
125,-1,7,26,534223.078600000010000,3378883.069900000000000
126,-1,7,26,534164.023500000010000,3378884.128300000000000
127,-1,7,26,534163.494300000020000,3378900.850000000100000
128,-1,7,26,534151.640900000000000,3378900.638300000200000
129,-1,7,26,534151.746799999960000,3378917.889200000100000
130,-1,7,26,534163.176800000020000,3378917.571700000200000
131,-1,7,26,534163.071000000000000,3378934.610900000200000
132,-1,7,26,534170.267600000020000,3378934.716700000200000
133,-1,7,26,534170.479300000010000,3378940.749200000000000
134,-1,7,26,534203.816899999980000,3378940.749200000000000
135,-1,7,26,534204.240200000000000,3378933.870000000100000
136,-1,7,26,534222.020200000030000,3378933.870000000100000
137,-1,7,26,534223.078600000010000,3378883.069900000000000
138,-1,9,27,533971.319299999970000,3378886.093900000200000
139,-1,9,27,533970.895999999950000,3378900.487300000200000
140,-1,9,27,533977.034300000060000,3378900.698900000200000
141,-1,9,27,533977.034300000060000,3378913.399000000200000
142,-1,9,27,533982.961000000010000,3378913.399000000200000
143,-1,9,27,533982.326000000000000,3378944.090700000100000
144,-1,9,27,534002.645999999950000,3378943.879000000200000
145,-1,9,27,534003.069400000040000,3378937.317400000100000
146,-1,9,27,534008.361099999980000,3378937.317400000100000
147,-1,9,27,534009.419400000010000,3378890.538900000000000
148,-1,9,27,534008.784400000000000,3378887.363900000200000
149,-1,9,27,534004.762699999960000,3378885.458900000000000
150,-1,9,27,533971.319299999970000,3378886.093900000200000
151,-1,12,28,533714.041500000050000,3378958.032100000000000
152,-1,12,28,533739.904600000010000,3378958.230500000100000
153,-1,12,28,533740.565999999990000,3378944.009099999900000
154,-1,12,28,533714.835199999970000,3378943.612199999900000
155,-1,12,28,533714.041500000050000,3378958.032100000000000
156,-1,10,29,533788.047400000040000,3378894.555300000100000
157,-1,10,29,533788.047400000040000,3378885.294900000100000
158,-1,10,29,533768.521100000010000,3378885.612400000000000
159,-1,10,29,533764.393599999950000,3378977.489099999900000
160,-1,10,29,533805.192400000060000,3378976.629199999900000
161,-1,10,29,533805.351200000030000,3378964.087900000200000
162,-1,10,29,533812.812400000050000,3378968.374200000000000
163,-1,10,29,533822.654899999960000,3378969.326700000100000
164,-1,10,29,533829.322500000010000,3378967.898000000000000
165,-1,10,29,533838.371200000050000,3378964.405400000000000
166,-1,10,29,533843.451200000010000,3378964.405400000000000
167,-1,10,29,533847.261199999950000,3378962.341700000200000
168,-1,10,29,533849.007499999950000,3378955.832899999800000
169,-1,10,29,533849.166199999980000,3378944.561700000000000
170,-1,10,29,533831.703699999950000,3378945.196700000200000
171,-1,10,29,533832.497500000060000,3378921.384099999900000
172,-1,10,29,533850.118699999990000,3378920.590400000100000
173,-1,10,29,533850.912499999980000,3378904.397799999900000
174,-1,10,29,533845.515000000010000,3378900.111599999900000
175,-1,10,29,533838.688700000060000,3378896.936600000100000
176,-1,10,29,533826.941200000000000,3378896.460299999900000
177,-1,10,29,533814.082399999960000,3378899.794100000100000
178,-1,10,29,533813.923700000040000,3378893.602800000000000
179,-1,10,29,533788.047400000040000,3378894.555300000100000
180,-1,14,30,533723.434400000030000,3378958.218200000000000
181,-1,14,30,533721.506199999950000,3378975.892099999800000
182,-1,14,30,533710.426699999950000,3378988.029900000000000
183,-1,14,30,533710.459799999950000,3378989.352800000000000
184,-1,14,30,533717.074400000040000,3378995.636700000100000
185,-1,14,30,533737.342599999970000,3378976.522700000100000
186,-1,14,30,533739.530400000050000,3378958.293600000000000
187,-1,14,30,533723.434400000030000,3378958.218200000000000
188,-1,24,31,533940.648799999970000,3378986.590299999800000
189,-1,24,31,533940.648799999970000,3378999.819399999900000
190,-1,24,31,534000.180100000000000,3378999.819399999900000
191,-1,24,31,534000.180100000000000,3378986.590299999800000
192,-1,24,31,533940.648799999970000,3378986.590299999800000
193,-1,22,32,533853.670300000000000,3378987.023300000000000
194,-1,22,32,533853.844000000040000,3379000.770099999800000
195,-1,22,32,533912.475800000010000,3379000.029300000100000
196,-1,22,32,533912.302099999970000,3378986.282500000200000
197,-1,22,32,533853.670300000000000,3378987.023300000000000
198,-1,18,33,533765.534400000000000,3378989.232100000100000
199,-1,18,33,533765.664800000030000,3379001.132600000100000
200,-1,18,33,533813.951299999960000,3379000.603500000200000
201,-1,18,33,533813.820900000050000,3378988.703000000200000
202,-1,18,33,533765.534400000000000,3378989.232100000100000
203,-1,13,34,533723.262200000000000,3378991.391700000000000
204,-1,13,34,533722.203899999960000,3379008.391200000000000
205,-1,13,34,533742.907600000040000,3379007.465100000100000
206,-1,13,34,533743.899800000010000,3378990.465600000200000
207,-1,13,34,533723.262200000000000,3378991.391700000000000
208,-1,8,35,534165.968200000000000,3378943.538400000000000
209,-1,8,35,534164.909800000020000,3379012.462499999900000
210,-1,8,35,534186.870299999950000,3379012.065599999900000
211,-1,8,35,534187.134899999950000,3378985.607200000000000
212,-1,8,35,534197.321299999950000,3378985.474899999800000
213,-1,8,35,534197.321299999950000,3378969.467600000100000
214,-1,8,35,534188.722399999970000,3378969.467600000100000
215,-1,8,35,534188.854700000030000,3378943.406099999800000
216,-1,8,35,534165.968200000000000,3378943.538400000000000
217,-1,25,36,533937.473800000040000,3379014.371600000200000
218,-1,25,36,533937.537900000000000,3379029.445799999900000
219,-1,25,36,533999.715100000030000,3379029.181200000000000
220,-1,25,36,533999.650999999950000,3379014.106999999800000
221,-1,25,36,533937.473800000040000,3379014.371600000200000
222,-1,19,37,533764.079200000040000,3379018.997800000000000
223,-1,19,37,533764.246500000010000,3379032.884899999900000
224,-1,19,37,533808.167400000030000,3379032.355700000200000
225,-1,19,37,533808.000099999950000,3379018.468599999800000
226,-1,19,37,533764.079200000040000,3379018.997800000000000
227,-1,15,38,533716.932200000040000,3379010.386200000100000
228,-1,15,38,533709.912900000000000,3379038.463200000100000
229,-1,15,38,533720.636399999960000,3379041.143999999900000
230,-1,15,38,533727.655600000060000,3379013.066999999800000
231,-1,15,38,533716.932200000040000,3379010.386200000100000
232,-1,16,39,533704.746799999960000,3379001.079400000200000
233,-1,16,39,533679.240899999980000,3379055.372000000000000
234,-1,16,39,533697.073800000010000,3379059.023300000000000
235,-1,16,39,533713.848499999960000,3379004.042799999900000
236,-1,16,39,533704.746799999960000,3379001.079400000200000
237,-1,26,40,533935.092500000030000,3379046.121600000200000
238,-1,26,40,533935.164400000010000,3379063.947499999800000
239,-1,26,40,534000.781199999970000,3379063.682899999900000
240,-1,26,40,534000.709299999990000,3379045.856999999800000
241,-1,26,40,533935.092500000030000,3379046.121600000200000
242,-1,20,41,533761.830199999970000,3379050.483300000000000
243,-1,20,41,533762.130899999990000,3379064.703100000000000
244,-1,20,41,533805.919499999960000,3379063.777100000100000
245,-1,20,41,533805.618800000050000,3379049.557200000200000
246,-1,20,41,533761.830199999970000,3379050.483300000000000
247,-1,23,42,533854.857399999980000,3379031.529800000100000
248,-1,23,42,533855.107500000040000,3379076.923200000100000
249,-1,23,42,533911.055100000000000,3379076.614899999900000
250,-1,23,42,533910.805000000050000,3379031.221599999800000
251,-1,23,42,533854.857399999980000,3379031.529800000100000
252,-1,33,43,533835.529800000020000,3379084.014400000200000
253,-1,33,43,533835.529800000020000,3379091.819699999900000
254,-1,33,43,533851.140299999970000,3379091.819699999900000
255,-1,33,43,533851.140299999970000,3379084.014400000200000
256,-1,33,43,533835.529800000020000,3379084.014400000200000
257,-1,21,44,533762.359399999960000,3379082.418600000000000
258,-1,21,44,533762.598800000040000,3379094.899499999800000
259,-1,21,44,533805.793399999970000,3379094.070799999900000
260,-1,21,44,533805.554000000000000,3379081.589900000000000
261,-1,21,44,533762.359399999960000,3379082.418600000000000
262,-1,29,45,534189.004800000000000,3379088.372099999800000
263,-1,29,45,534189.004800000000000,3379096.838800000000000
264,-1,29,45,534222.342399999960000,3379096.838800000000000
265,-1,29,45,534222.342399999960000,3379088.372099999800000
266,-1,29,45,534189.004800000000000,3379088.372099999800000
267,-1,27,46,533933.434400000030000,3379083.022299999800000
268,-1,27,46,533933.489799999980000,3379100.310399999800000
269,-1,27,46,533998.786700000060000,3379100.101100000100000
270,-1,27,46,533998.731200000040000,3379082.813000000100000
271,-1,27,46,533933.434400000030000,3379083.022299999800000
272,-1,17,47,533737.964700000010000,3379049.460200000100000
273,-1,17,47,533701.452200000060000,3379050.386299999900000
274,-1,17,47,533699.335500000040000,3379104.493700000000000
275,-1,17,47,533735.583499999950000,3379103.699899999900000
276,-1,17,47,533736.641799999980000,3379088.221799999900000
277,-1,17,47,533706.479300000010000,3379088.089499999800000
278,-1,17,47,533707.008400000050000,3379067.187299999900000
279,-1,17,47,533737.567900000020000,3379066.393600000100000
280,-1,17,47,533737.964700000010000,3379049.460200000100000
281,-1,34,48,533832.619399999970000,3379099.095699999900000
282,-1,34,48,533832.771599999980000,3379109.475500000200000
283,-1,34,48,533849.688399999980000,3379109.227500000000000
284,-1,34,48,533849.536199999970000,3379098.847699999800000
285,-1,34,48,533832.619399999970000,3379099.095699999900000
286,-1,35,49,533862.434699999980000,3379087.205999999800000
287,-1,35,49,533861.574799999940000,3379120.742000000100000
288,-1,35,49,533876.913999999990000,3379121.135300000200000
289,-1,35,49,533877.773900000030000,3379087.599299999900000
290,-1,35,49,533862.434699999980000,3379087.205999999800000
291,-1,32,50,533829.179800000040000,3379116.690500000000000
292,-1,32,50,533829.047499999990000,3379131.375000000000000
293,-1,32,50,533863.046500000050000,3379130.978099999900000
294,-1,32,50,533863.046500000050000,3379123.966599999900000
295,-1,32,50,533834.868299999970000,3379124.231199999800000
296,-1,32,50,533834.868299999970000,3379116.690500000000000
297,-1,32,50,533829.179800000040000,3379116.690500000000000
298,-1,28,51,533937.575199999960000,3379116.973700000000000
299,-1,28,51,533937.575199999960000,3379131.658100000100000
300,-1,28,51,533997.027200000010000,3379131.658100000100000
301,-1,28,51,533997.027200000010000,3379116.973700000000000
302,-1,28,51,533937.575199999960000,3379116.973700000000000
303,-1,30,52,534226.737100000030000,3379154.883200000000000
304,-1,30,52,534176.016399999960000,3379154.168899999900000
305,-1,30,52,534175.937000000030000,3379167.186400000000000
306,-1,30,52,534186.890800000050000,3379167.583300000100000
307,-1,30,52,534186.970199999980000,3379160.915699999800000
308,-1,30,52,534226.737100000030000,3379161.868199999900000
309,-1,30,52,534226.737100000030000,3379154.883200000000000
310,-1,31,53,533941.356999999960000,3379149.071200000100000
311,-1,31,53,533940.827799999970000,3379172.619200000100000
312,-1,31,53,533947.839299999990000,3379172.619200000100000
313,-1,31,53,533948.236099999980000,3379162.829599999800000
314,-1,31,53,533978.134100000020000,3379163.094099999900000
315,-1,31,53,533978.134100000020000,3379172.222300000000000
316,-1,31,53,533989.643500000010000,3379172.089999999900000
317,-1,31,53,533989.643500000010000,3379159.786900000200000
318,-1,31,53,533983.293500000030000,3379159.786900000200000
319,-1,31,53,533983.293500000030000,3379149.203499999800000
320,-1,31,53,533941.356999999960000,3379149.071200000100000
321,-1,52,54,533794.142299999950000,3379197.261299999900000
322,-1,52,54,533794.262200000000000,3379212.495399999900000
323,-1,52,54,533807.703100000040000,3379212.389500000000000
324,-1,52,54,533807.583100000050000,3379197.155499999900000
325,-1,52,54,533794.142299999950000,3379197.261299999900000
326,-1,51,55,533833.962100000000000,3379203.108599999900000
327,-1,51,55,533822.515800000050000,3379198.649799999800000
328,-1,51,55,533817.197700000020000,3379212.302399999900000
329,-1,51,55,533828.643999999970000,3379216.761099999800000
330,-1,51,55,533833.962100000000000,3379203.108599999900000
331,-1,50,56,533835.963100000050000,3379219.266400000100000
332,-1,50,56,533847.647699999970000,3379226.007600000100000
333,-1,50,56,533856.177299999980000,3379211.223100000100000
334,-1,50,56,533844.492600000000000,3379204.481900000000000
335,-1,50,56,533835.963100000050000,3379219.266400000100000
336,-1,44,57,534045.008599999940000,3379214.819199999800000
337,-1,44,57,534045.140900000000000,3379227.916100000000000
338,-1,44,57,534077.680000000050000,3379227.587400000100000
339,-1,44,57,534077.547700000000000,3379214.490499999800000
340,-1,44,57,534045.008599999940000,3379214.819199999800000
341,-1,45,58,534084.960700000050000,3379214.951500000000000
342,-1,45,58,534084.828400000000000,3379228.180699999900000
343,-1,45,58,534109.038100000010000,3379228.422799999800000
344,-1,45,58,534109.170399999940000,3379215.193599999900000
345,-1,45,58,534084.960700000050000,3379214.951500000000000
346,-1,48,59,533882.424000000000000,3379229.003099999900000
347,-1,48,59,533900.680300000010000,3379229.003099999900000
348,-1,48,59,533900.680300000010000,3379220.271800000200000
349,-1,48,59,533882.424000000000000,3379220.271800000200000
350,-1,48,59,533882.424000000000000,3379229.003099999900000
351,-1,49,60,533858.876000000050000,3379214.292200000000000
352,-1,49,60,533855.213899999970000,3379223.093599999800000
353,-1,49,60,533869.670999999970000,3379229.108899999900000
354,-1,49,60,533873.333100000050000,3379220.307599999900000
355,-1,49,60,533858.876000000050000,3379214.292200000000000
356,-1,47,61,533910.363999999940000,3379218.843100000200000
357,-1,47,61,533910.196000000000000,3379230.104700000000000
358,-1,47,61,533963.377300000050000,3379230.898500000100000
359,-1,47,61,533963.545399999940000,3379219.636800000000000
360,-1,47,61,533910.363999999940000,3379218.843100000200000
361,-1,85,62,533787.560500000020000,3379218.478699999900000
362,-1,85,62,533784.701000000000000,3379231.959199999900000
363,-1,85,62,533804.096999999950000,3379236.073499999900000
364,-1,85,62,533806.956499999970000,3379222.592999999900000
365,-1,85,62,533787.560500000020000,3379218.478699999900000
366,-1,43,63,534045.121000000040000,3379238.499400000100000
367,-1,43,63,534044.982100000020000,3379249.278400000200000
368,-1,43,63,534106.577200000060000,3379250.072100000000000
369,-1,43,63,534106.716099999960000,3379239.293200000200000
370,-1,43,63,534045.121000000040000,3379238.499400000100000
371,-1,37,64,534146.897600000030000,3379250.647400000100000
372,-1,37,64,534159.809299999960000,3379250.859000000200000
373,-1,37,64,534160.020999999950000,3379225.035699999900000
374,-1,37,64,534116.205899999940000,3379224.612300000200000
375,-1,37,64,534116.205899999940000,3379236.889000000000000
376,-1,37,64,534146.897600000030000,3379236.889000000000000
377,-1,37,64,534146.897600000030000,3379250.647400000100000
378,-1,46,65,533983.360499999950000,3379222.624400000100000
379,-1,46,65,533982.963699999960000,3379248.289100000200000
380,-1,46,65,533998.574099999970000,3379248.421300000000000
381,-1,46,65,533998.838699999960000,3379236.647400000100000
382,-1,46,65,534015.110600000010000,3379236.515100000000000
383,-1,46,65,534014.846000000020000,3379256.094300000000000
384,-1,46,65,534036.806499999950000,3379256.491200000000000
385,-1,46,65,534037.335599999990000,3379223.021300000100000
386,-1,46,65,533983.360499999950000,3379222.624400000100000
387,-1,84,66,533821.427299999980000,3379229.194399999900000
388,-1,84,66,533817.050999999980000,3379240.170400000200000
389,-1,84,66,533858.193800000010000,3379256.574500000100000
390,-1,84,66,533862.570100000010000,3379245.598600000100000
391,-1,84,66,533821.427299999980000,3379229.194399999900000
392,-1,63,67,533909.920200000050000,3379249.009300000000000
393,-1,63,67,533909.602700000050000,3379259.963000000000000
394,-1,63,67,533964.212799999980000,3379261.074300000000000
395,-1,63,67,533963.260299999970000,3379243.929300000000000
396,-1,63,67,533937.383999999960000,3379243.929300000000000
397,-1,63,67,533937.066499999960000,3379249.644299999800000
398,-1,63,67,533909.920200000050000,3379249.009300000000000
399,-1,83,68,533892.343699999970000,3379251.419400000000000
400,-1,83,68,533868.134300000030000,3379251.419400000000000
401,-1,83,68,533868.134300000030000,3379268.088200000100000
402,-1,83,68,533902.794699999970000,3379268.088200000100000
403,-1,83,68,533902.794699999970000,3379258.034000000000000
404,-1,83,68,533892.343699999970000,3379258.034000000000000
405,-1,83,68,533892.343699999970000,3379251.419400000000000
406,-1,41,69,534080.522299999950000,3379268.185800000100000
407,-1,41,69,534080.247100000040000,3379277.062299999900000
408,-1,41,69,534100.725899999960000,3379277.697300000100000
409,-1,41,69,534101.001099999990000,3379268.820799999900000
410,-1,41,69,534080.522299999950000,3379268.185800000100000
411,-1,42,70,534050.042299999970000,3379271.043300000000000
412,-1,42,70,534050.042299999970000,3379281.997000000000000
413,-1,42,70,534060.043500000030000,3379281.997000000000000
414,-1,42,70,534060.043500000030000,3379271.043300000000000
415,-1,42,70,534050.042299999970000,3379271.043300000000000
416,-1,38,71,534124.496200000050000,3379269.455800000100000
417,-1,38,71,534124.008099999980000,3379281.494599999900000
418,-1,38,71,534159.250699999980000,3379282.923299999900000
419,-1,38,71,534159.738699999990000,3379270.884500000200000
420,-1,38,71,534124.496200000050000,3379269.455800000100000
421,-1,82,72,533856.360299999940000,3379281.714300000100000
422,-1,82,72,533856.360299999940000,3379295.604900000200000
423,-1,82,72,533901.207199999950000,3379295.604900000200000
424,-1,82,72,533901.207199999950000,3379281.714300000100000
425,-1,82,72,533856.360299999940000,3379281.714300000100000
426,-1,64,73,533910.777499999970000,3379282.876000000200000
427,-1,64,73,533910.569699999990000,3379297.801500000100000
428,-1,64,73,533963.804000000000000,3379298.542400000200000
429,-1,64,73,533964.011700000030000,3379283.616800000000000
430,-1,64,73,533910.777499999970000,3379282.876000000200000
431,-1,53,74,533986.157400000030000,3379268.491700000100000
432,-1,53,74,533985.945700000040000,3379301.511700000100000
433,-1,53,74,534037.811499999950000,3379301.844200000200000
434,-1,53,74,534038.023200000050000,3379268.824200000100000
435,-1,53,74,533986.157400000030000,3379268.491700000100000
436,-1,81,75,533793.993400000040000,3379288.328900000100000
437,-1,81,75,533793.993400000040000,3379305.050600000200000
438,-1,81,75,533846.169400000010000,3379305.050600000200000
439,-1,81,75,533846.169400000010000,3379288.328900000100000
440,-1,81,75,533793.993400000040000,3379288.328900000100000
441,-1,36,76,534220.907000000010000,3379238.423599999900000
442,-1,36,76,534220.774699999950000,3379217.653800000000000
443,-1,36,76,534196.697599999960000,3379216.859999999900000
444,-1,36,76,534196.697599999960000,3379222.945400000100000
445,-1,36,76,534182.145499999980000,3379222.151699999800000
446,-1,36,76,534182.277800000040000,3379297.028899999800000
447,-1,36,76,534189.553799999990000,3379297.558100000000000
448,-1,36,76,534189.686100000050000,3379305.892500000100000
449,-1,36,76,534209.265299999970000,3379306.421699999800000
450,-1,36,76,534209.529899999960000,3379297.955000000100000
451,-1,36,76,534219.981000000030000,3379298.351799999800000
452,-1,36,76,534220.907000000010000,3379238.423599999900000
453,-1,39,77,534123.226200000030000,3379297.395800000100000
454,-1,39,77,534123.023599999960000,3379308.992099999900000
455,-1,39,77,534159.377400000000000,3379309.627100000200000
456,-1,39,77,534159.579999999960000,3379298.030799999800000
457,-1,39,77,534123.226200000030000,3379297.395800000100000
458,-1,57,78,534186.447399999950000,3379327.335099999800000
459,-1,57,78,534204.862399999980000,3379327.652600000100000
460,-1,57,78,534204.980100000040000,3379320.828400000000000
461,-1,57,78,534186.564999999940000,3379320.510900000100000
462,-1,57,78,534186.447399999950000,3379327.335099999800000
463,-1,40,79,534076.077300000000000,3379320.097099999900000
464,-1,40,79,534075.906100000020000,3379327.062299999900000
465,-1,40,79,534114.641100000010000,3379328.014800000000000
466,-1,40,79,534114.812400000050000,3379321.049600000000000
467,-1,40,79,534076.077300000000000,3379320.097099999900000
468,-1,56,80,534210.736200000040000,3379314.344099999900000
469,-1,56,80,534216.397899999980000,3379328.803100000100000
470,-1,56,80,534238.358299999960000,3379320.204100000200000
471,-1,56,80,534232.696600000020000,3379305.745099999900000
472,-1,56,80,534210.736200000040000,3379314.344099999900000
473,-1,65,81,533905.856200000040000,3379316.822100000000000
474,-1,65,81,533905.571800000030000,3379332.295800000000000
475,-1,65,81,533963.145200000030000,3379333.354199999900000
476,-1,65,81,533963.429600000030000,3379317.880400000100000
477,-1,65,81,533905.856200000040000,3379316.822100000000000
478,-1,80,82,533790.274100000040000,3379324.380400000100000
479,-1,80,82,533790.223200000010000,3379338.272299999800000
480,-1,80,82,533855.310900000040000,3379338.510400000000000
481,-1,80,82,533855.361700000010000,3379324.618499999900000
482,-1,80,82,533790.274100000040000,3379324.380400000100000
483,-1,58,83,534155.914400000010000,3379338.606399999900000
484,-1,58,83,534174.209299999990000,3379338.933100000000000
485,-1,58,83,534174.329400000050000,3379332.203499999800000
486,-1,58,83,534156.034600000010000,3379331.876800000200000
487,-1,58,83,534155.914400000010000,3379338.606399999900000
488,-1,86,84,533739.596800000060000,3379294.510400000000000
489,-1,86,84,533739.199900000010000,3379339.092800000200000
490,-1,86,84,533763.938500000050000,3379339.092800000200000
491,-1,86,84,533764.335399999980000,3379332.742800000100000
492,-1,86,84,533777.432299999990000,3379332.742800000100000
493,-1,86,84,533777.300000000050000,3379307.739600000000000
494,-1,86,84,533764.599900000030000,3379307.739600000000000
495,-1,86,84,533764.599900000030000,3379294.510400000000000
496,-1,86,84,533739.596800000060000,3379294.510400000000000
