OBJECTID,R_name,R_num,R_type,SHAPE_Leng,Shape_Length
96,求是二路,2,主干道,66.919284570800002,66.919284570844042
97,北京路,5,主干道,57.250641512000001,57.250641512026156
98,友谊大道,13,主干道,39.926636057200000,39.926636057215894
99,陕西路,6,主干道,90.854462447900005,90.854462447891407
100,陕西路,6,主干道,95.483060181300004,95.483060181346502
101,陕西路,6,主干道,97.352675983099999,97.352675983059612
102,陕西路,6,主干道,57.992590159499997,57.992590159521789
103,陕西路,6,主干道,57.824246614300002,57.824246614302595
104,友谊大道,13,主干道,76.632052258100003,76.632052258126606
105,求是二路,2,主干道,52.264168240200000,52.264168240174421
106,求是一路,1,主干道,55.458075675099998,55.458052262481374
107,求是一路,1,主干道,57.407760107500003,57.402005303636351
108,求是一路,1,主干道,23.779224993000000,23.779224993020790
109,求是一路,1,主干道,39.561230209800001,39.561230209848389
110,求是一路,1,主干道,47.858464494800003,47.858464494771312
111,求是一路,1,主干道,84.766234367799996,84.766234367780527
112,求是一路,1,主干道,44.142893194999999,44.142893195015333
113, ,12,小路,37.770300058399997,37.770300058353776
114,毕生路,14,主干道,42.664522613099997,42.664522613131275
115,毕生路,14,主干道,24.268340060500002,24.268340060461078
116,回归路,4,主干道,98.957156059499994,98.957156059515128
117,回归路,4,主干道,215.041574298000000,215.041574297820920
118,回归路,4,主干道,47.056564579099998,47.056564579144919
119,回归路,4,主干道,80.394519384600002,80.394519384573229
120,星湖南路,7,主干道,76.976989672499997,76.976989672464072
121,星湖南路,7,主干道,96.781923027100007,96.781923027087799
122,星湖南路,7,主干道,94.032644210800001,94.032644210822127
123,星湖南路,7,主干道,89.196457468500000,89.196457468487068
124,求是二路,2,主干道,19.770503890200001,19.770503890235634
125,求是二路,2,主干道,40.224865713100002,40.224865713056701
126,求是二路,2,主干道,47.974880365099999,47.974880365118622
127,求是二路,2,主干道,102.981761488000000,102.981761488368930
128,求是二路,2,主干道,29.326100154300001,29.326100154257098
129,求是二路,2,主干道,65.534949630699998,65.534949630738879
130,求是二路,2,主干道,7.678275112220000,7.678275112216107
131,求是二路,2,主干道,27.050311720700002,27.050311720719716
132,求是二路,2,主干道,16.379329498699999,16.379329498661793
133,广东路,15,主干道,72.230143599800002,72.230143599782735
134,广东路,15,主干道,58.637511493799998,58.637511493774170
135,广东路,15,主干道,58.598716851900001,58.598716851907383
136,毕生路,14,主干道,59.220413489800002,59.220413489813218
137,求是大道,11,主干道,115.552617960000010,115.552617960054120
138,求是大道,11,主干道,125.122482860000010,125.122482860470000
139,求是大道,11,主干道,90.103702558199998,90.103702558247249
140,求是大道,11,主干道,16.469538546799999,16.469538546813837
141,求是大道,11,主干道,22.228290628200000,22.228290628203325
142,求是大道,11,主干道,43.671532937199999,43.671532937218196
143,求是大道,11,主干道,32.765969329299999,32.765969329298045
144,求是大道,11,主干道,23.214370372000001,23.214370371972933
145,求是大道,11,主干道,33.869720907800001,33.869720907795902
146,求是大道,11,主干道,58.986590895100001,58.986590895071707
147,求是大道,11,主干道,39.593772484200002,39.593772484216906
148,求是大道,11,主干道,81.568058597900006,81.568058597912426
149,求是大道,11,主干道,27.253338831699999,27.253338831657643
150,求是大道,11,主干道,32.153197051200003,32.153197051175560
151,求是大道,11,主干道,22.019506921100000,22.019506921122343
152, ,14,小路,67.936659611899998,67.936659611926288
153, ,14,小路,149.739907697000010,149.739907696647040
154, ,14,小路,101.235992310000000,101.235992310425930
155, ,14,小路,37.478302300199999,37.478302300201577
156, ,14,小路,33.507931910000003,33.507931909989615
157,星湖三路,8,主干道,86.962113848100003,86.962113848097744
158,星湖三路,8,主干道,32.688105966000002,32.688105966026903
159,星湖三路,8,主干道,13.001783784600001,13.001783784599976
160,星湖三路,8,主干道,88.393330578299995,88.393330578304159
161, ,14,小路,61.451539452799999,61.451539452840976
162, ,14,小路,35.837898609699998,35.837898609667533
163,星湖一路,10,主干道,41.893313076200002,41.893313076222277
164,星湖一路,10,主干道,51.992715421000000,51.992715421044295
165,星湖一路,10,主干道,8.886877013390000,8.886877013387238
166,星湖一路,10,主干道,26.517891081199998,26.517891081220725
167, ,14,小路,66.197607543600000,66.197607543605017
168,玉兰路,16,主干道,84.414689426600006,84.414689426643463
169, ,14,小路,44.317596393000002,44.317596393002567
170, ,14,小路,18.512931596400001,18.512931596417214
171, ,14,小路,30.980240428700000,30.980240428661116
172, ,14,小路,35.602524211300000,35.602524211303511
173, ,14,小路,64.026322700600005,64.026322700630359
174, ,14,小路,57.151777780700002,57.151777780724593
175, ,14,小路,5.310574319750000,5.310574319749420
176, ,14,小路,51.936841885299998,51.936841885345487
177, ,14,小路,25.787768603000000,25.787768602980286
178, ,14,小路,5.310574319750000,5.310574319749420
179,新疆路,3,主干道,45.459468915899997,45.459468915912758
180,新疆路,3,主干道,62.945975765000000,62.945975764974428
181,星湖三路,8,主干道,100.577007842000000,100.577007842165700
