FID,R_name,R_num,R_type,SHAPE_Leng,Shape_Le_1,ORIG_FID,POINT_X,POINT_Y
98,国重小路,5,小路,86.506041926199998,86.506041926199998,22,534015.765200000020000,3379071.605500000100000
99,出版社小路,7,小路,88.739888938700005,88.739888938700005,23,533926.218699999970000,3379106.721899999800000
100,出版社小路,7,小路,88.739888938700005,88.739888938700005,23,534014.957700000030000,3379106.324700000200000
101,毕生路,14,主干道,63.555091729700003,63.555091729700003,24,534074.799099999950000,3379080.249799999900000
102,毕生路,14,主干道,63.555091729700003,63.555091729700003,24,534138.345699999950000,3379081.288699999900000
103,广东路,15,主干道,154.258535282999990,154.258535282999990,25,534071.536599999990000,3379173.252100000200000
104,广东路,15,主干道,154.258535282999990,154.258535282999990,25,534076.852199999960000,3379170.873300000100000
105,广东路,15,主干道,154.258535282999990,154.258535282999990,25,534127.017299999950000,3379147.854499999900000
106,广东路,15,主干道,154.258535282999990,154.258535282999990,25,534129.557299999990000,3379143.885799999800000
107,广东路,15,主干道,154.258535282999990,154.258535282999990,25,534130.192300000000000,3379134.995699999900000
108,广东路,15,主干道,154.258535282999990,154.258535282999990,25,534130.827300000000000,3379112.056299999800000
109,广东路,15,主干道,154.258535282999990,154.258535282999990,25,534074.161300000040000,3379111.597500000100000
110,广东路,15,主干道,16.793750940700001,16.793750940700001,26,534061.956099999950000,3379159.459199999900000
111,广东路,15,主干道,16.793750940700001,16.793750940700001,26,534071.536599999990000,3379173.252100000200000
112,广东路,15,主干道,31.354187664800001,31.354187664800001,27,534074.161300000040000,3379111.597500000100000
113,广东路,15,主干道,31.354187664800001,31.354187664800001,27,534074.799099999950000,3379080.249799999900000
114,广东路,15,主干道,10.614754805000000,10.614754805000000,28,534014.576899999990000,3379122.699599999900000
115,广东路,15,主干道,10.614754805000000,10.614754805000000,28,534025.183500000040000,3379123.115600000100000
116, ,6,小路,243.282757866000000,243.282757866000000,29,533758.116099999980000,3379009.343799999900000
117, ,6,小路,243.282757866000000,243.282757866000000,29,533801.654100000040000,3379006.150500000000000
118, ,6,小路,243.282757866000000,243.282757866000000,29,533825.733099999950000,3379004.464999999900000
119, ,6,小路,243.282757866000000,243.282757866000000,29,533849.914200000000000,3379004.668800000100000
120, ,6,小路,243.282757866000000,243.282757866000000,29,533851.395900000000000,3379006.997099999800000
121, ,6,小路,243.282757866000000,243.282757866000000,29,533850.760899999990000,3379028.587200000000000
122, ,6,小路,243.282757866000000,243.282757866000000,29,533849.067500000000000,3379070.073900000200000
123, ,6,小路,243.282757866000000,243.282757866000000,29,533851.607500000040000,3379077.693899999800000
124, ,6,小路,243.282757866000000,243.282757866000000,29,533856.687500000000000,3379079.810600000000000
125, ,6,小路,243.282757866000000,243.282757866000000,29,533928.577700000020000,3379080.309500000000000
126, ,8,小路,66.613093414700003,66.613093414700003,30,533757.539899999970000,3379037.285699999900000
127, ,8,小路,66.613093414700003,66.613093414700003,30,533824.150000000020000,3379036.654200000200000
128, ,9,小路,92.834726430499998,92.834726430499998,31,533756.677799999950000,3379069.647799999900000
129, ,9,小路,92.834726430499998,92.834726430499998,31,533822.599200000060000,3379068.189199999900000
130, ,9,小路,92.834726430499998,92.834726430499998,31,533826.842500000030000,3379066.687200000000000
131, ,9,小路,92.834726430499998,92.834726430499998,31,533849.230300000050000,3379066.084799999800000
132, ,10,小路,68.350375126399996,68.350375126399996,32,533752.231799999950000,3379106.468799999900000
133, ,10,小路,68.350375126399996,68.350375126399996,32,533757.839000000040000,3379106.904000000100000
134, ,10,小路,68.350375126399996,68.350375126399996,32,533820.565300000020000,3379106.942100000100000
135, ,11,小路,80.644507534200002,80.644507534200002,33,533850.953800000020000,3379022.029000000100000
136, ,11,小路,80.644507534200002,80.644507534200002,33,533931.559099999950000,3379019.514599999900000
137, ,12,小路,45.036387557200001,45.036387557200001,34,534176.246599999950000,3379125.429300000000000
138, ,12,小路,45.036387557200001,45.036387557200001,34,534181.009100000020000,3379106.379199999900000
139, ,12,小路,45.036387557200001,45.036387557200001,34,534181.009100000020000,3379080.979199999900000
140, ,12,小路,127.419116475000000,127.419116475000000,35,534176.246599999950000,3379125.429300000000000
141, ,12,小路,127.419116475000000,127.419116475000000,35,534177.040400000060000,3379134.689700000000000
142, ,12,小路,127.419116475000000,127.419116475000000,35,534181.538300000010000,3379142.627200000000000
143, ,12,小路,127.419116475000000,127.419116475000000,35,534186.300799999970000,3379145.273099999900000
144, ,12,小路,127.419116475000000,127.419116475000000,35,534214.082100000000000,3379146.595999999900000
145, ,12,小路,127.419116475000000,127.419116475000000,35,534224.136300000010000,3379146.331400000000000
146, ,12,小路,127.419116475000000,127.419116475000000,35,534226.517600000020000,3379137.864699999800000
147, ,12,小路,127.419116475000000,127.419116475000000,35,534226.253000000030000,3379121.460500000000000
148, ,12,小路,127.419116475000000,127.419116475000000,35,534226.253000000030000,3379080.979199999900000
149, ,13,小路,17.439966042199998,17.439966042199998,36,533908.790200000050000,3379107.354199999900000
150, ,13,小路,17.439966042199998,17.439966042199998,36,533926.218699999970000,3379106.721899999800000
151, ,13,小路,79.388470725900007,79.388470725900007,37,533898.274800000010000,3379132.458399999900000
152, ,13,小路,79.388470725900007,79.388470725900007,37,533896.599099999990000,3379161.897700000100000
153, ,13,小路,79.388470725900007,79.388470725900007,37,533892.895000000020000,3379187.694699999900000
154, ,13,小路,79.388470725900007,79.388470725900007,37,533884.386500000020000,3379209.964600000100000
155, ,13,小路,79.837248810000006,79.837248810000006,38,533818.888799999960000,3379138.075100000000000
156, ,13,小路,79.837248810000006,79.837248810000006,38,533839.713600000020000,3379145.361300000000000
157, ,13,小路,79.837248810000006,79.837248810000006,38,533897.477700000050000,3379146.462100000100000
158, ,13,小路,58.581462230200003,58.581462230200003,39,533893.780400000050000,3379181.528100000200000
159, ,13,小路,58.581462230200003,58.581462230200003,39,533849.503200000040000,3379180.286299999800000
160, ,13,小路,58.581462230200003,58.581462230200003,39,533843.985600000010000,3379193.464699999900000
161, ,13,小路,41.319074114599999,41.319074114599999,40,533849.503200000040000,3379180.286299999800000
162, ,13,小路,41.319074114599999,41.319074114599999,40,533844.079200000040000,3379178.301899999800000
163, ,13,小路,41.319074114599999,41.319074114599999,40,533839.316699999970000,3379174.200900000100000
164, ,13,小路,41.319074114599999,41.319074114599999,40,533838.523000000040000,3379167.189400000000000
165, ,13,小路,41.319074114599999,41.319074114599999,40,533838.655299999980000,3379159.384200000200000
166, ,13,小路,41.319074114599999,41.319074114599999,40,533842.101600000050000,3379145.406800000000000
167, ,13,小路,21.136591609700002,21.136591609700002,41,533817.412000000010000,3379165.501800000200000
168, ,13,小路,21.136591609700002,21.136591609700002,41,533838.545399999940000,3379165.869099999800000
169, ,13,小路,24.800084525199999,24.800084525199999,42,533881.613699999990000,3379146.148000000000000
170, ,13,小路,24.800084525199999,24.800084525199999,42,533882.145600000050000,3379130.791600000100000
171, ,13,小路,24.800084525199999,24.800084525199999,42,533891.574400000040000,3379130.464399999900000
172, ,13,小路,77.570596652000006,77.484227083500002,43,533867.884700000050000,3379180.801800000000000
173, ,13,小路,77.570596652000006,77.484227083500002,43,533868.024100000040000,3379173.804000000000000
174, ,13,小路,77.570596652000006,77.484227083500002,43,533869.874799999990000,3379173.595300000200000
175, ,13,小路,77.570596652000006,77.484227083500002,43,533871.662999999940000,3379173.074599999900000
176, ,13,小路,77.570596652000006,77.484227083500002,43,533873.336499999980000,3379172.257199999900000
177, ,13,小路,77.570596652000006,77.484227083500002,43,533874.846499999990000,3379171.166999999900000
178, ,13,小路,77.570596652000006,77.484227083500002,43,533876.148900000030000,3379169.835599999900000
179, ,13,小路,77.570596652000006,77.484227083500002,43,533877.205800000000000,3379168.302100000000000
180, ,13,小路,77.570596652000006,77.484227083500002,43,533877.986200000040000,3379166.611000000000000
181, ,13,小路,77.570596652000006,77.484227083500002,43,533878.467500000030000,3379164.811799999800000
182, ,13,小路,77.570596652000006,77.484227083500002,43,533878.635600000040000,3379162.956999999900000
183, ,13,小路,77.570596652000006,77.484227083500002,43,533878.485600000010000,3379161.100600000000000
184, ,13,小路,77.570596652000006,77.484227083500002,43,533878.021799999990000,3379159.296800000100000
185, ,13,小路,77.570596652000006,77.484227083500002,43,533877.257800000020000,3379157.598199999900000
186, ,13,小路,77.570596652000006,77.484227083500002,43,533876.215899999950000,3379156.054500000100000
187, ,13,小路,77.570596652000006,77.484227083500002,43,533874.926499999940000,3379154.710599999900000
188, ,13,小路,77.570596652000006,77.484227083500002,43,533873.427099999970000,3379153.605700000200000
189, ,13,小路,77.570596652000006,77.484227083500002,43,533871.761599999970000,3379152.772100000200000
190, ,13,小路,77.570596652000006,77.484227083500002,43,533869.978600000030000,3379152.234100000000000
191, ,13,小路,77.570596652000006,77.484227083500002,43,533868.130000000000000,3379152.007400000000000
192, ,13,小路,77.570596652000006,77.484227083500002,43,533866.269800000010000,3379152.098600000100000
193, ,13,小路,77.570596652000006,77.484227083500002,43,533864.452200000060000,3379152.504999999900000
194, ,13,小路,77.570596652000006,77.484227083500002,43,533862.664299999950000,3379152.966099999800000
195, ,13,小路,77.570596652000006,77.484227083500002,43,533860.981499999990000,3379153.726100000100000
196, ,13,小路,77.570596652000006,77.484227083500002,43,533859.453400000000000,3379154.762500000200000
197, ,13,小路,77.570596652000006,77.484227083500002,43,533858.125000000000000,3379156.044999999900000
198, ,13,小路,77.570596652000006,77.484227083500002,43,533857.035299999990000,3379157.535699999900000
199, ,13,小路,77.570596652000006,77.484227083500002,43,533856.216600000040000,3379159.190700000200000
200, ,13,小路,77.570596652000006,77.484227083500002,43,533855.692900000020000,3379160.961300000100000
201, ,13,小路,77.570596652000006,77.484227083500002,43,533855.479500000020000,3379162.795299999900000
202, ,13,小路,77.570596652000006,77.484227083500002,43,533855.582799999970000,3379164.638900000100000
203, ,13,小路,77.570596652000006,77.484227083500002,43,533855.999799999990000,3379166.437599999800000
204, ,13,小路,77.570596652000006,77.484227083500002,43,533856.718200000000000,3379168.138600000200000
205, ,13,小路,77.570596652000006,77.484227083500002,43,533857.716699999990000,3379169.691699999900000
206, ,13,小路,77.570596652000006,77.484227083500002,43,533858.966099999960000,3379171.051299999900000
207, ,13,小路,77.570596652000006,77.484227083500002,43,533860.429499999970000,3379172.177199999800000
208, ,13,小路,77.570596652000006,77.484227083500002,43,533862.063899999950000,3379173.036400000100000
209, ,13,小路,77.570596652000006,77.484227083500002,43,533863.821099999940000,3379173.603600000000000
210, ,13,小路,77.570596652000006,77.484227083500002,43,533865.649399999990000,3379173.862000000200000
211, ,13,小路,77.570596652000006,77.484227083500002,43,533867.494900000050000,3379173.804000000000000
212, ,13,小路,48.207953009199997,48.151137545499999,44,533899.207100000000000,3379120.424999999800000
213, ,13,小路,48.207953009199997,48.151137545499999,44,533900.254399999980000,3379120.301000000000000
214, ,13,小路,48.207953009199997,48.151137545499999,44,533901.307700000000000,3379120.354100000100000
215, ,13,小路,48.207953009199997,48.151137545499999,44,533902.337199999950000,3379120.582700000100000
216, ,13,小路,48.207953009199997,48.151137545499999,44,533903.314000000010000,3379120.980500000100000
217, ,13,小路,48.207953009199997,48.151137545499999,44,533904.210399999980000,3379121.536100000100000
218, ,13,小路,48.207953009199997,48.151137545499999,44,533905.001099999990000,3379122.233899999900000
219, ,13,小路,48.207953009199997,48.151137545499999,44,533905.663799999980000,3379123.054300000000000
220, ,13,小路,48.207953009199997,48.151137545499999,44,533906.179899999990000,3379123.973999999900000
221, ,13,小路,48.207953009199997,48.151137545499999,44,533906.534699999960000,3379124.967199999800000
222, ,13,小路,48.207953009199997,48.151137545499999,44,533906.718299999950000,3379126.005700000100000
223, ,13,小路,48.207953009199997,48.151137545499999,44,533906.725400000000000,3379127.060300000000000
224, ,13,小路,48.207953009199997,48.151137545499999,44,533906.555999999980000,3379128.101199999900000
225, ,13,小路,48.207953009199997,48.151137545499999,44,533906.214599999950000,3379129.099100000200000
226, ,13,小路,48.207953009199997,48.151137545499999,44,533905.711000000010000,3379130.025700000100000
227, ,13,小路,48.207953009199997,48.151137545499999,44,533905.059499999970000,3379130.855000000000000
228, ,13,小路,48.207953009199997,48.151137545499999,44,533904.278300000010000,3379131.563500000200000
229, ,13,小路,48.207953009199997,48.151137545499999,44,533903.389500000050000,3379132.131200000200000
230, ,13,小路,48.207953009199997,48.151137545499999,44,533902.418199999960000,3379132.542100000200000
231, ,13,小路,48.207953009199997,48.151137545499999,44,533901.391900000050000,3379132.784700000200000
232, ,13,小路,48.207953009199997,48.151137545499999,44,533900.339400000060000,3379132.852000000000000
233, ,13,小路,48.207953009199997,48.151137545499999,44,533899.290500000000000,3379132.742200000200000
234, ,13,小路,48.207953009199997,48.151137545499999,44,533898.274800000010000,3379132.458399999900000
235, ,13,小路,48.207953009199997,48.151137545499999,44,533897.212100000000000,3379132.676200000100000
236, ,13,小路,48.207953009199997,48.151137545499999,44,533896.128000000030000,3379132.712900000200000
237, ,13,小路,48.207953009199997,48.151137545499999,44,533895.052999999960000,3379132.567700000000000
238, ,13,小路,48.207953009199997,48.151137545499999,44,533894.017499999960000,3379132.244500000000000
239, ,13,小路,48.207953009199997,48.151137545499999,44,533893.050700000020000,3379131.752599999800000
240, ,13,小路,48.207953009199997,48.151137545499999,44,533892.179899999990000,3379131.105700000200000
241, ,13,小路,48.207953009199997,48.151137545499999,44,533891.429699999980000,3379130.322199999800000
242, ,13,小路,48.207953009199997,48.151137545499999,44,533890.821200000010000,3379129.424199999800000
243, ,13,小路,48.207953009199997,48.151137545499999,44,533890.371700000020000,3379128.436999999900000
244, ,13,小路,48.207953009199997,48.151137545499999,44,533890.093800000030000,3379127.388400000100000
245, ,13,小路,48.207953009199997,48.151137545499999,44,533889.995400000010000,3379126.308100000000000
246, ,13,小路,48.207953009199997,48.151137545499999,44,533890.079099999970000,3379125.226600000200000
247, ,13,小路,48.207953009199997,48.151137545499999,44,533890.342799999980000,3379124.174399999900000
248, ,13,小路,48.207953009199997,48.151137545499999,44,533890.778900000030000,3379123.181200000000000
249, ,13,小路,48.207953009199997,48.151137545499999,44,533891.375099999950000,3379122.274900000100000
250, ,13,小路,48.207953009199997,48.151137545499999,44,533892.114700000030000,3379121.481300000100000
251, ,13,小路,48.207953009199997,48.151137545499999,44,533892.976600000050000,3379120.822699999900000
252, ,13,小路,48.207953009199997,48.151137545499999,44,533893.936600000020000,3379120.317700000000000
253, ,13,小路,48.207953009199997,48.151137545499999,44,533894.967700000040000,3379119.980599999900000
254, ,13,小路,48.207953009199997,48.151137545499999,44,533896.040599999950000,3379119.820799999900000
255, ,13,小路,48.207953009199997,48.151137545499999,44,533897.125099999950000,3379119.842800000200000
256, ,13,小路,48.207953009199997,48.151137545499999,44,533898.190599999970000,3379120.046200000200000
257, ,13,小路,48.207953009199997,48.151137545499999,44,533899.207100000000000,3379120.424999999800000
258, ,13,小路,3.839853326990000,3.839853326990000,45,533899.207100000000000,3379120.424999999800000
259, ,13,小路,3.839853326990000,3.839853326990000,45,533899.305199999940000,3379116.586399999900000
260, ,13,小路,51.897616045800000,51.835744746600000,46,533899.305199999940000,3379116.586399999900000
261, ,13,小路,51.897616045800000,51.835744746600000,46,533897.894399999990000,3379115.991400000200000
262, ,13,小路,51.897616045800000,51.835744746600000,46,533896.604599999960000,3379115.166199999900000
263, ,13,小路,51.897616045800000,51.835744746600000,46,533895.473099999940000,3379114.134600000000000
264, ,13,小路,51.897616045800000,51.835744746600000,46,533894.532600000040000,3379112.926299999900000
265, ,13,小路,51.897616045800000,51.835744746600000,46,533893.810300000010000,3379111.576299999800000
266, ,13,小路,51.897616045800000,51.835744746600000,46,533893.326800000040000,3379110.123399999900000
267, ,13,小路,51.897616045800000,51.835744746600000,46,533893.096299999980000,3379108.609699999900000
268, ,13,小路,51.897616045800000,51.835744746600000,46,533893.125400000020000,3379107.078799999800000
269, ,13,小路,51.897616045800000,51.835744746600000,46,533893.413199999950000,3379105.574899999900000
270, ,13,小路,51.897616045800000,51.835744746600000,46,533893.951400000020000,3379104.141499999900000
271, ,13,小路,51.897616045800000,51.835744746600000,46,533894.724500000010000,3379102.819800000200000
272, ,13,小路,51.897616045800000,51.835744746600000,46,533895.710199999970000,3379101.648099999900000
273, ,13,小路,51.897616045800000,51.835744746600000,46,533896.880000000000000,3379100.660199999800000
274, ,13,小路,51.897616045800000,51.835744746600000,46,533898.200100000020000,3379099.884500000200000
275, ,13,小路,51.897616045800000,51.835744746600000,46,533899.632600000010000,3379099.343500000000000
276, ,13,小路,51.897616045800000,51.835744746600000,46,533901.135899999990000,3379099.052800000200000
277, ,13,小路,51.897616045800000,51.835744746600000,46,533902.666699999940000,3379099.020800000100000
278, ,13,小路,51.897616045800000,51.835744746600000,46,533904.056699999960000,3379099.630900000200000
279, ,13,小路,51.897616045800000,51.835744746600000,46,533905.324900000010000,3379100.465200000000000
280, ,13,小路,51.897616045800000,51.835744746600000,46,533906.435399999960000,3379101.500099999800000
281, ,13,小路,51.897616045800000,51.835744746600000,46,533907.356900000010000,3379102.706400000000000
282, ,13,小路,51.897616045800000,51.835744746600000,46,533908.063399999980000,3379104.049999999800000
283, ,13,小路,51.897616045800000,51.835744746600000,46,533908.534800000020000,3379105.492900000000000
284, ,13,小路,51.897616045800000,51.835744746600000,46,533908.757899999970000,3379106.994400000200000
285, ,13,小路,51.897616045800000,51.835744746600000,46,533908.726299999980000,3379108.512099999900000
286, ,13,小路,51.897616045800000,51.835744746600000,46,533908.440999999990000,3379110.003000000000000
287, ,13,小路,51.897616045800000,51.835744746600000,46,533907.910000000030000,3379111.425100000100000
288, ,13,小路,51.897616045800000,51.835744746600000,46,533907.148300000000000,3379112.738200000000000
289, ,13,小路,51.897616045800000,51.835744746600000,46,533906.177400000040000,3379113.905100000100000
290, ,13,小路,51.897616045800000,51.835744746600000,46,533905.024800000010000,3379114.892899999900000
